mode time Mu[1,1] Mu[1,2] Mu[2,1] Mu[2,2] Mu[3,1] Mu[3,2] rho[1] rho[2] PI[1,1,1] PI[1,1,2] PI[1,2,1] PI[1,2,2] PI[2,1,1] PI[2,1,2] PI[2,2,1] PI[2,2,2] PI[3,1,1] PI[3,1,2] PI[3,2,1] PI[3,2,2] alpha[1,1] alpha[1,2] alpha[2,1] alpha[2,2] alpha[3,1] alpha[3,2] lambda[1] lambda[2] lambda[3] theta[1] theta[2] loglikelihood
thinning 2.392 0.7787 0.04723 0.1902 0.1038 0.03114 0.849 0.1096 0.1096 0 0.004 0.001451 0 0 0.003111 0.001245 0 0 0.00199 0.003061 0 0.2663 0.7337 0.2858 0.7142 0.606 0.394 51.3458 38.0679 33.2654 0.00628 0.00628 -69188.038
phasehunt 7.382 0.7787 0.04723 0.1902 0.1038 0.03114 0.849 0.1096 0.1096 0 0.004 0.001451 0 0 0.003111 0.001245 0 0 0.00199 0.003061 0 0.2663 0.7337 0.2858 0.7142 0.606 0.394 51.3458 38.0679 33.2654 0.00628 0.00628 -67550.3628
EM 1.194 0.7988 0.04423 0.1742 0.09625 0.02701 0.8595 0.1059 0.1059 0 0.003538 0.001329 0 0 0.002745 0.001169 0 0 0.001622 0.002572 0 0.2731 0.7269 0.2987 0.7013 0.6133 0.3867 44.6106 32.7009 27.9659 0.006125 0.006125 -67510.3596
EM 2.536 0.8114 0.04267 0.1643 0.09312 0.02433 0.8642 0.1043 0.1043 0 0.003472 0.001308 0 0 0.002711 0.001158 0 0 0.001548 0.002451 0 0.2736 0.7264 0.2992 0.7008 0.6128 0.3872 43.7218 32.2623 26.6365 0.006157 0.006157 -67500.9102
EM 3.884 0.8196 0.04174 0.1579 0.09183 0.02243 0.8664 0.1037 0.1037 0 0.003486 0.001314 0 0 0.00273 0.001165 0 0 0.001543 0.002437 0 0.2738 0.7262 0.2991 0.7009 0.6123 0.3877 43.8737 32.4931 26.4851 0.006197 0.006197 -67497.679
EM 5.13 0.8253 0.04114 0.1536 0.09136 0.02104 0.8675 0.1034 0.1034 0 0.003511 0.001324 0 0 0.002754 0.001174 0 0 0.001552 0.002447 0 0.2739 0.7261 0.2989 0.7011 0.6119 0.3881 44.1898 32.7956 26.5981 0.006224 0.006224 -67496.2626
EM 6.412 0.8294 0.04071 0.1507 0.09125 0.01998 0.868 0.1033 0.1033 0 0.003532 0.001332 0 0 0.002773 0.001181 0 0 0.001563 0.002461 0 0.2738 0.7262 0.2986 0.7014 0.6115 0.3885 44.463 33.0459 26.7404 0.006238 0.006238 -67495.535
EM 7.676 0.8323 0.04041 0.1485 0.0913 0.01917 0.8683 0.1033 0.1033 0 0.003547 0.001337 0 0 0.002788 0.001186 0 0 0.001572 0.002472 0 0.2737 0.7263 0.2984 0.7016 0.6112 0.3888 44.6635 33.2333 26.8607 0.006245 0.006245 -67495.1246
EM 8.985 0.8344 0.04017 0.147 0.09141 0.01854 0.8684 0.1033 0.1033 0 0.003558 0.00134 0 0 0.002798 0.001189 0 0 0.001579 0.00248 0 0.2736 0.7264 0.2982 0.7018 0.611 0.389 44.8036 33.3706 26.954 0.006249 0.006249 -67494.8808
EM 10.15 0.836 0.04 0.1459 0.09154 0.01805 0.8685 0.1033 0.1033 0 0.003564 0.001342 0 0 0.002806 0.001191 0 0 0.001585 0.002487 0 0.2735 0.7265 0.298 0.702 0.6108 0.3892 44.9011 33.4715 27.0252 0.006251 0.006251 -67494.7318
EM 11.53 0.8372 0.03986 0.1451 0.09166 0.01766 0.8685 0.1033 0.1033 0 0.003569 0.001343 0 0 0.002811 0.001193 0 0 0.001589 0.002492 0 0.2734 0.7266 0.2979 0.7021 0.6106 0.3894 44.9698 33.5467 27.0798 0.006251 0.006251 -67494.6392
EM 12.98 0.8381 0.03975 0.1446 0.09177 0.01736 0.8685 0.1034 0.1034 0 0.003572 0.001344 0 0 0.002815 0.001194 0 0 0.001592 0.002496 0 0.2733 0.7267 0.2978 0.7022 0.6105 0.3895 45.0194 33.6035 27.122 0.006252 0.006252 -67494.5808
thinning 2.377 0.8381 0.03975 0.1446 0.09177 0.01736 0.8685 0.1034 0.1034 0 0.003572 0.001344 0 0 0.002815 0.001194 0 0 0.001592 0.002496 0 0.2733 0.7267 0.2978 0.7022 0.6105 0.3895 45.0194 33.6035 27.122 0.006252 0.006252 -67464.014
phasehunt 4.312 0.8381 0.03975 0.1446 0.09177 0.01736 0.8685 0.1034 0.1034 0 0.003572 0.001344 0 0 0.002815 0.001194 0 0 0.001592 0.002496 0 0.2733 0.7267 0.2978 0.7022 0.6105 0.3895 45.0194 33.6035 27.122 0.006252 0.006252 -67451.5341
EM 1.21 0.8433 0.03987 0.1396 0.08987 0.0171 0.8703 0.1031 0.1031 0 0.003598 0.001348 0 0 0.002814 0.001197 0 0 0.001593 0.002498 0 0.2725 0.7275 0.2985 0.7015 0.6107 0.3893 45.4336 33.5462 27.1489 0.006282 0.006282 -67450.0834
EM 2.66 0.8468 0.04006 0.1363 0.08879 0.01692 0.8712 0.1031 0.1031 0 0.003613 0.001355 0 0 0.002823 0.001201 0 0 0.001597 0.002504 0 0.2727 0.7273 0.2984 0.7016 0.6106 0.3894 45.6109 33.6589 27.213 0.006297 0.006297 -67449.4534
EM 3.995 0.8492 0.04026 0.134 0.08814 0.01678 0.8716 0.1031 0.1031 0 0.003623 0.001359 0 0 0.00283 0.001203 0 0 0.0016 0.002509 0 0.2727 0.7273 0.2983 0.7017 0.6106 0.3894 45.7327 33.7517 27.2652 0.006304 0.006304 -67449.1369
EM 5.141 0.8509 0.04045 0.1324 0.08774 0.01667 0.8718 0.1032 0.1032 0 0.003629 0.001361 0 0 0.002835 0.001204 0 0 0.001603 0.002512 0 0.2727 0.7273 0.2982 0.7018 0.6105 0.3895 45.8026 33.8131 27.2994 0.006307 0.006307 -67448.9619
EM 6.432 0.8522 0.04062 0.1313 0.08748 0.01659 0.8719 0.1032 0.1032 0 0.003631 0.001361 0 0 0.002838 0.001205 0 0 0.001604 0.002514 0 0.2727 0.7273 0.2981 0.7019 0.6104 0.3896 45.8371 33.8503 27.3202 0.006307 0.006307 -67448.8591
EM 7.762 0.853 0.04076 0.1304 0.08731 0.01652 0.8719 0.1033 0.1033 0 0.003632 0.001361 0 0 0.002839 0.001205 0 0 0.001606 0.002515 0 0.2726 0.7274 0.298 0.702 0.6104 0.3896 45.8505 33.8717 27.3325 0.006307 0.006307 -67448.7961
EM 9.003 0.8537 0.04089 0.1298 0.08719 0.01647 0.8719 0.1033 0.1033 0 0.003631 0.001361 0 0 0.002839 0.001205 0 0 0.001606 0.002516 0 0.2726 0.7274 0.2979 0.7021 0.6103 0.3897 45.8525 33.8834 27.3397 0.006307 0.006307 -67448.7563
EM 10.21 0.8542 0.04099 0.1294 0.0871 0.01643 0.8719 0.1033 0.1033 0 0.003631 0.00136 0 0 0.00284 0.001205 0 0 0.001607 0.002516 0 0.2725 0.7275 0.2979 0.7021 0.6103 0.3897 45.8489 33.8894 27.344 0.006306 0.006306 -67448.7305
EM 11.58 0.8545 0.04108 0.1291 0.08704 0.01639 0.8719 0.1034 0.1034 0 0.00363 0.00136 0 0 0.00284 0.001204 0 0 0.001607 0.002517 0 0.2725 0.7275 0.2978 0.7022 0.6103 0.3897 45.8429 33.8921 27.3465 0.006306 0.006306 -67448.7134
EM 12.92 0.8548 0.04115 0.1289 0.08699 0.01636 0.8719 0.1034 0.1034 0 0.003629 0.001359 0 0 0.002839 0.001204 0 0 0.001607 0.002517 0 0.2725 0.7275 0.2978 0.7022 0.6102 0.3898 45.8364 33.8929 27.348 0.006306 0.006306 -67448.7018
thinning 2.392 0.8548 0.04115 0.1289 0.08699 0.01636 0.8719 0.1034 0.1034 0 0.003629 0.001359 0 0 0.002839 0.001204 0 0 0.001607 0.002517 0 0.2725 0.7275 0.2978 0.7022 0.6102 0.3898 45.8364 33.8929 27.348 0.006306 0.006306 -67446.1862
phasehunt 2.59 0.8548 0.04115 0.1289 0.08699 0.01636 0.8719 0.1034 0.1034 0 0.003629 0.001359 0 0 0.002839 0.001204 0 0 0.001607 0.002517 0 0.2725 0.7275 0.2978 0.7022 0.6102 0.3898 45.8364 33.8929 27.348 0.006306 0.006306 -67445.4349
EM 1.205 0.8569 0.04137 0.1267 0.08598 0.01637 0.8726 0.1034 0.1034 0 0.003631 0.001362 0 0 0.002842 0.001206 0 0 0.001608 0.002517 0 0.2727 0.7273 0.298 0.702 0.6102 0.3898 45.8365 33.9095 27.3521 0.006308 0.006308 -67445.0539
EM 2.551 0.8585 0.04159 0.1252 0.08535 0.01638 0.8731 0.1035 0.1035 0 0.003635 0.001363 0 0 0.002845 0.001207 0 0 0.001609 0.002519 0 0.2728 0.7272 0.2979 0.7021 0.6102 0.3898 45.8788 33.9514 27.3701 0.006309 0.006309 -67444.8465
EM 3.926 0.8595 0.0418 0.1241 0.08494 0.01639 0.8733 0.1036 0.1036 0 0.003637 0.001364 0 0 0.002847 0.001208 0 0 0.00161 0.00252 0 0.2728 0.7272 0.2979 0.7021 0.6102 0.3898 45.9041 33.9771 27.3816 0.006309 0.006309 -67444.7262
EM 5.085 0.8603 0.04198 0.1233 0.08466 0.01641 0.8734 0.1036 0.1036 0 0.003638 0.001364 0 0 0.002848 0.001208 0 0 0.00161 0.00252 0 0.2727 0.7273 0.2978 0.7022 0.6102 0.3898 45.9131 33.9894 27.3866 0.006309 0.006309 -67444.6531
EM 6.23 0.8608 0.04213 0.1228 0.08447 0.01642 0.8734 0.1037 0.1037 0 0.003637 0.001364 0 0 0.002848 0.001208 0 0 0.00161 0.00252 0 0.2727 0.7273 0.2978 0.7022 0.6102 0.3898 45.9117 33.9933 27.3875 0.006308 0.006308 -67444.6071
EM 7.59 0.8612 0.04226 0.1224 0.08433 0.01642 0.8734 0.1037 0.1037 0 0.003636 0.001363 0 0 0.002848 0.001207 0 0 0.00161 0.00252 0 0.2727 0.7273 0.2977 0.7023 0.6102 0.3898 45.9047 33.9926 27.3863 0.006308 0.006308 -67444.5774
EM 8.933 0.8615 0.04237 0.1221 0.08423 0.01643 0.8734 0.1037 0.1037 0 0.003635 0.001363 0 0 0.002847 0.001207 0 0 0.00161 0.00252 0 0.2727 0.7273 0.2977 0.7023 0.6101 0.3899 45.8954 33.9895 27.384 0.006307 0.006307 -67444.5577
EM 10.16 0.8617 0.04246 0.1219 0.08415 0.01644 0.8734 0.1037 0.1037 0 0.003634 0.001362 0 0 0.002847 0.001207 0 0 0.00161 0.00252 0 0.2726 0.7274 0.2977 0.7023 0.6101 0.3899 45.8856 33.9854 27.3815 0.006307 0.006307 -67444.5444
thinning 3.769 0.8618 0.04254 0.1217 0.08409 0.01644 0.8734 0.1038 0.1038 0 0.003633 0.001362 0 0 0.002846 0.001206 0 0 0.00161 0.00252 0 0.2726 0.7274 0.2977 0.7023 0.6101 0.3899 45.8764 33.9812 27.3791 0.006306 0.006306 -67442.1221
phasehunt 3.557 0.8618 0.04254 0.1217 0.08409 0.01644 0.8734 0.1038 0.1038 0 0.003633 0.001362 0 0 0.002846 0.001206 0 0 0.00161 0.00252 0 0.2726 0.7274 0.2977 0.7023 0.6101 0.3899 45.8764 33.9812 27.3791 0.006306 0.006306 -67435.2581
EM 1.84 0.8631 0.04261 0.1205 0.0836 0.01645 0.8738 0.1038 0.1038 0 0.003635 0.001363 0 0 0.002844 0.001206 0 0 0.00161 0.00252 0 0.2728 0.7272 0.2978 0.7022 0.6101 0.3899 45.8802 33.9473 27.38 0.006306 0.006306 -67435.138
EM 3.169 0.8639 0.04269 0.1196 0.08329 0.01647 0.874 0.1038 0.1038 0 0.003638 0.001365 0 0 0.002845 0.001206 0 0 0.001611 0.002521 0 0.2728 0.7272 0.2978 0.7022 0.6101 0.3899 45.9073 33.958 27.3894 0.006307 0.006307 -67435.0683
EM 4.29 0.8645 0.04277 0.119 0.0831 0.01648 0.8741 0.1039 0.1039 0 0.003639 0.001365 0 0 0.002846 0.001206 0 0 0.001611 0.002521 0 0.2728 0.7272 0.2977 0.7023 0.6101 0.3899 45.9241 33.9689 27.3955 0.006306 0.006306 -67435.0257
EM 5.608 0.8649 0.04284 0.1186 0.08297 0.0165 0.8742 0.1039 0.1039 0 0.003639 0.001365 0 0 0.002846 0.001207 0 0 0.001611 0.002521 0 0.2728 0.7272 0.2977 0.7023 0.6101 0.3899 45.9314 33.9757 27.3982 0.006306 0.006306 -67434.9987
EM 6.96 0.8652 0.04291 0.1183 0.08288 0.01651 0.8742 0.1039 0.1039 0 0.003639 0.001365 0 0 0.002846 0.001206 0 0 0.001612 0.002522 0 0.2728 0.7272 0.2977 0.7023 0.6101 0.3899 45.9326 33.9788 27.3987 0.006306 0.006306 -67434.981
EM 8.123 0.8654 0.04296 0.1181 0.08282 0.01652 0.8742 0.104 0.104 0 0.003639 0.001365 0 0 0.002846 0.001206 0 0 0.001612 0.002521 0 0.2728 0.7272 0.2977 0.7023 0.6101 0.3899 45.9306 33.9795 27.3981 0.006305 0.006305 -67434.9691
thinning 3.6 0.8656 0.043 0.1179 0.08277 0.01653 0.8742 0.104 0.104 0 0.003639 0.001365 0 0 0.002846 0.001206 0 0 0.001612 0.002521 0 0.2728 0.7272 0.2977 0.7023 0.6101 0.3899 45.927 33.9789 27.3969 0.006305 0.006305 -67433.9278
phasehunt 2.912 0.8656 0.043 0.1179 0.08277 0.01653 0.8742 0.104 0.104 0 0.003639 0.001365 0 0 0.002846 0.001206 0 0 0.001612 0.002521 0 0.2728 0.7272 0.2977 0.7023 0.6101 0.3899 45.927 33.9789 27.3969 0.006305 0.006305 -67431.6372
EM 1.141 0.8662 0.0431 0.1172 0.0825 0.01654 0.8744 0.104 0.104 0 0.003605 0.001347 0 0 0.002842 0.001207 0 0 0.001612 0.002522 0 0.272 0.728 0.2981 0.7019 0.6101 0.3899 45.5933 33.9018 27.4005 0.006307 0.006307 -67431.5743
EM 2.424 0.8667 0.0432 0.1168 0.08233 0.01655 0.8745 0.104 0.104 0 0.00359 0.00134 0 0 0.002842 0.001207 0 0 0.001612 0.002522 0 0.2718 0.7282 0.2981 0.7019 0.6101 0.3899 45.408 33.9051 27.4041 0.006307 0.006307 -67431.5381
EM 3.688 0.867 0.0433 0.1164 0.08222 0.01656 0.8745 0.1041 0.1041 0 0.003583 0.001337 0 0 0.002842 0.001207 0 0 0.001612 0.002522 0 0.2717 0.7283 0.2981 0.7019 0.6101 0.3899 45.3279 33.9069 27.4048 0.006307 0.006307 -67431.5151
EM 4.986 0.8673 0.04338 0.1162 0.08214 0.01656 0.8745 0.1041 0.1041 0 0.003579 0.001335 0 0 0.002842 0.001207 0 0 0.001612 0.002522 0 0.2717 0.7283 0.2981 0.7019 0.61 0.39 45.2904 33.9063 27.4039 0.006306 0.006306 -67431.4998
EM 6.099 0.8674 0.04345 0.116 0.08208 0.01657 0.8745 0.1041 0.1041 0 0.003578 0.001334 0 0 0.002842 0.001207 0 0 0.001612 0.002522 0 0.2717 0.7283 0.2981 0.7019 0.61 0.39 45.2704 33.9042 27.4022 0.006306 0.006306 -67431.4894
